4.08317, 2.99557, -25.3708, 80, 75, 85
4.30591, 1.52221, -8.82151, 186, 187, 183
-2.8012, 1.98546, -4.67515, 211, 238, 255
-2.79531, 1.9883, -4.61913, 204, 241, 255
-2.6854, 1.98959, -4.65606, 143, 202, 156
-2.8425, 2.04389, -4.76379, 223, 255, 255
-2.772, 2.05461, -4.80618, 130, 193, 148
-15.1047, 3.22489, -44.0314, 236, 158, 167
-2.78705, 1.94808, -4.52728, 205, 237, 255
-2.82693, 2.00604, -4.62798, 182, 205, 238
-2.81059, 1.93842, -4.54904, 99, 119, 145
-2.78622, 1.94824, -4.53478, 199, 231, 253
6.13985, 2.30564, -15.5024, 85, 92, 98
1.5929, 1.14948, 3.73772, 54, 80, 107
-2.80271, 1.83246, -4.13678, 171, 210, 177
-2.7411, 2.08105, -4.9116, 108, 156, 136
5.78765, 4.67816, -39.3467, 76, 81, 90
2.09294, 1.04599, -2.67331, 106, 88, 109
-2.84123, 1.88287, -4.39162, 63, 98, 99
13.6819, 0.220613, 17.8572, 67, 72, 81
2.06808, 1.07149, -2.78471, 155, 128, 131
4.30573, 1.67943, -8.99358, 31, 37, 50
6.16495, 2.29994, -15.5336, 80, 90, 93
1.50786, 1.00324, 3.80374, 90, 129, 163
1.46618, 1.24739, 3.76988, 149, 151, 157
1.59035, 1.14759, 3.73171, 54, 80, 107
-2.81748, 2.06409, -4.82247, 138, 207, 157
-2.7886, 2.04763, -4.78526, 141, 210, 160
-2.84448, 1.88795, -4.39864, 87, 107, 122
-2.93223, 2.12894, -4.94297, 196, 223, 247
1.32946, 1.84251, 3.89435, 163, 162, 164
-1.63968, -1.44664, 20.7658, 62, 61, 70
4.26439, 1.63137, -8.88257, 50, 52, 62
4.25742, 1.63027, -8.86449, 50, 52, 62
-2.77471, 2.08394, -4.91693, 106, 160, 129
4.04918, 2.9779, -25.1063, 80, 75, 85
2.08999, 1.06248, -2.72208, 107, 93, 106
23.3861, 2.01118, 28.2523, 77, 85, 86
-21.8251, 79.6929, -823.766, 129, 135, 137
4.09792, 2.20193, -8.88854, 145, 152, 158
-2.80413, 2.01876, -4.67991, 136, 169, 194
4.08403, 2.95323, -25.4185, 77, 73, 78
6.19273, 2.25967, -15.5089, 144, 154, 157
-2.77343, 2.09171, -4.88442, 53, 122, 84
4.2482, 1.62576, -8.83975, 50, 52, 62
1.50161, 1.24378, 3.76893, 101, 100, 102
1.49689, 1.21655, 3.75926, 102, 100, 107
-2.78627, 2.02184, -4.67931, 162, 188, 217
3.64294, 2.5727, -21.7693, 81, 80, 84
2.07419, 1.07481, -2.76618, 126, 111, 110
2.08375, 1.02978, -2.67623, 106, 80, 109
1.42164, 1.50797, 3.74417, 113, 105, 104
4.1706, 3.02433, -26.1178, 67, 66, 73
-15.2987, 3.02025, -44.5984, 95, 50, 53
13.4127, 0.205109, 17.4736, 54, 62, 81
1.43369, 1.24798, 3.76638, 54, 69, 86
3.88541, 2.90346, -24.713, 167, 172, 179
2.27491, 0.757895, 5.09804, 14, 43, 69
2.08536, 0.999212, -2.64185, 116, 97, 110
-2.8004, 1.77481, -4.08149, 161, 213, 169
1.41463, 1.01031, 3.81682, 132, 123, 130
1.31607, 1.22492, 3.84828, 164, 152, 167
1.37441, 1.49178, 3.78172, 90, 86, 87
4.28417, 1.64828, -8.94685, 30, 34, 48
13.8034, 0.212814, 18.0273, 114, 119, 128
1.31589, 1.23246, 3.86996, 152, 142, 154
-14.8185, 3.4095, -42.2043, 149, 77, 91
1.50658, 1.22151, 3.77333, 75, 74, 81
1.42875, 1.19889, 3.79591, 9, 40, 95
1.61679, 1.52033, 3.65756, 94, 90, 93
1.42417, 1.02443, 3.81978, 184, 165, 180
1.37206, 1.8132, 3.95941, 133, 129, 130
